xt,yt,i
-0.0428970250453293,0.0820197660253067,6
-0.0184406310224467,0.0580791873454305,6
-0.00341450550502763,0.0273274781335848,6
0.00060094010590619,-0.000148313110564609,6
0.000281567836822363,-0.0088279641992716,6
-0.000785617800785349,-0.0174481434560719,6
-0.00259226797392276,-0.0259450217307893,6
-0.00512512598840924,-0.0342550980290298,6
-0.0083656085368343,-0.0423161286897472,6
-0.0122896752073282,-0.0500679699062895,6
-0.0168680966319891,-0.0574529409002342,6
-0.0339980143649588,-0.0767287371167361,6
-0.0554693147153646,-0.0910309237663699,6
-0.0798741436503838,-0.099415973863433,6
-0.105610525449987,-0.101329144684297,6
-0.130990921423874,-0.0966429948918607,6
-0.154352247402349,-0.0856633665136283,6
-0.17694023988565,-0.0659663175256145,6
-0.192736352604845,-0.0404904112096607,6
-0.200343567710866,-0.0114872238593446,6
-0.199087038358598,0.0184803919307649,6
-0.189072746847802,0.0467624170353461,6
-0.171181371034342,0.0708562202562108,6
-0.146990928363507,0.0886295989863877,6
-0.114119980349514,0.0992472104064712,6
-0.0795768594936566,0.098162830245147,6
-0.0474035924198884,0.0854970990451283,6
-0.0213658960010532,0.0627242786596809,6
-0.00451468041048406,0.0324989478397576,6
0.00117040314808803,-0.0016509283021683,6
0.000702186905421033,-0.0106496619653274,6
-0.000565467085268748,-0.019571912224358,6
-0.00262188757209356,-0.028348198789635,6
-0.00545126080379251,-0.036908567581286,6
-0.00903170489108343,-0.0451842946495742,6
-0.0133350461338061,-0.0531095193265598,6
-0.0183272863406466,-0.0606216194862509,6
-0.0372876883221254,-0.0803179839562376,6
-0.0608384111031193,-0.0942451919725138,6
-0.0872685709387673,-0.101379850553216,6
-0.114653512940112,-0.101192589518032,6
-0.141000519052186,-0.093690860359459,6
-0.164393475268936,-0.0794151922047723,6
-0.1845872505951,-0.0572734962247587,6
-0.197447099827332,-0.0301869726106304,6
-0.201848743612977,-0.000508921751349027,6
-0.197401285085559,0.0291805236112557,6
-0.184481967815464,0.0562971439243966,6
-0.164206778659157,0.0784791632383381,6
-0.138332020317019,0.0937939807376839,6
-0.104784668308898,0.10119927385875,6
-0.0706548640429853,0.0970468805101114,6
-0.0398137520056523,0.0817943121010014,6
-0.0157622033968543,0.0571582997447124,6
-0.0012350432392016,0.0259185933041603,6
0.00235801065459574,-0.00232030603874753,6
0.00175921733866638,-0.0121052883583523,6
0.000226545547019787,-0.0217902099569779,6
-0.00222579410449315,-0.0312867840008021,6
-0.0055758487237968,-0.0405076324159975,6
-0.00979352560286777,-0.0493676829128874,6
-0.0148405788568862,-0.0577854702192854,6
-0.0206710523596742,-0.0656837734812047,6
-0.0398880551016489,-0.0838670475680828,6
-0.0631335667242654,-0.0965469143925037,6
-0.0888647659780805,-0.102868994211455,6
-0.115370451810318,-0.102402599314506,6
-0.140888619426302,-0.0951711879245183,6
-0.163722592347261,-0.0816484594014697,6
-0.184672342004303,-0.0595261061377663,6
-0.198234976938782,-0.0322196849870669,6
-0.203211418640769,-0.00211656832230869,6
-0.199152017284881,0.0281457062955687,6
-0.186401640897841,0.0559100166176638,6
-0.16607272859525,0.0787390029901826,6
-0.139941200066088,0.0946307944832618,6
-0.106333269380523,0.10250859670048,6
-0.0719782545496001,0.0988850722410255,6
-0.0407051479603933,0.0841487306494445,6
-0.016002740076074,0.0599289952907519,6
-0.000630400678526342,0.0289114462113415,6
0.00368700217231933,-0.00545989612222397,6
0.00259878140706027,-0.0166207086059655,6
0.00031168520843101,-0.0276011958303577,6
-0.00314708145669739,-0.0382748311788469,6
-0.00773805902508097,-0.0485165986368564,6
-0.0134086570780968,-0.0582057367258978,6
-0.0200932650034719,-0.0672286164171544,6
-0.0277143242239225,-0.0754799798550044,6
-0.050054161173152,-0.0920157958680741,6
-0.0759954663580069,-0.102063862460304,6
-0.103689814584485,-0.104893551106944,6
-0.131159804792168,-0.100290874001295,6
-0.15644507782026,-0.0885756948046836,6
-0.177740861750872,-0.0705759156296238,6
-0.194767043649387,-0.045002354103748,6
-0.203615606722843,-0.015556432305702,6
-0.203503971848695,0.0152125610151667,6
-0.19443019501919,0.0446328082714436,6
-0.177178359050394,0.0701502974737046,6
-0.153242134726996,0.089556608853852,6
-0.12468596824127,0.101172327572012,6
-0.0906738749275507,0.103743763649996,6
-0.057614764406701,0.0952582021988585,6
-0.0290098924429307,0.0766037436321169,6
-0.00788787378999922,0.0497472576128742,6
0.00351250367496711,0.0175196530088438,6
0.00474027381150642,-0.0102089317487035,6
0.000289353736499043,-0.0325404126501563,6
-0.00886815392891622,-0.0533990943340814,6
-0.0223057265608673,-0.0718073200967855,6
-0.039396890161785,-0.0868995263343791,6
-0.0593435501670007,-0.0979644292190765,6
-0.0812131288303754,-0.104479724623145,6
-0.10398218201078,-0.106136465537818,6
-0.137583636469583,-0.0993620759743913,6
-0.167251244991414,-0.0821676422170503,6
-0.170413388934054,-0.0794595413848759,6
